Chemical Name,CASRN,Exposure Route,Assessment Type,Critical Effect or Tumor Type,WOE Characterization,Toxicity Value Type,Toxicity Value
Acrylamide,79-06-1,Oral,Cancer,thyroid tumors and tunica vaginalis mesotheliomas,Likely to be carcinogenic to humans (2005 guidelines),Oral Slope Factor,5x10-1 per mg/kg-day
Acrylamide,79-06-1,Inhalation,Cancer,thyroid tumors and tunica vaginalis mesotheliomas,Likely to be carcinogenic to humans (2005 guidelines),Inhalation Unit Risk,1x10-4 per ｵg/m3
Acrylic acid,79-10-7,Inhalation,Noncancer,Degeneration of the nasal olfactory epithelium,n/a,RfC,1x10-3 mg/m3
Acrylic acid,79-10-7,Oral,Noncancer,Reduced pup weight,n/a,RfD,5x10-1 mg/kg-day
Acrylonitrile,107-13-1,Inhalation,Cancer,Respiratory cancer,B1 (Probable human carcinogen - based on limited evidence of carcinogenicity in humans) (1986 guidelines),Inhalation Unit Risk,6.8x10-5 per ｵg/m3
Acrylonitrile,107-13-1,Oral,Cancer,"Brain and spinal cord astrocytomas, Zymbal gland carcinomas and stomach papillomas/ carcinomas",B1 (Probable human carcinogen - based on limited evidence of carcinogenicity in humans) (1986 guidelines),Oral Slope Factor,5.4x10-1 per mg/kg-day
Acrylonitrile,107-13-1,Inhalation,Noncancer,Degeneration and inflammation of nasal respiratory epithelium; hyperplasia of mucous secreting cells,n/a,RfC,2x10-3 mg/m3
Alachlor,15972-60-8,Oral,Noncancer,"Hemosiderosis, hemolytic anemia",n/a,RfD,1x10-2 mg/kg-day
Alar,1596-84-5,Oral,Noncancer,No adverse effects,n/a,RfD,1.5x10-1 mg/kg-day
Aldicarb,116-06-3,Oral,Noncancer,Sweating as clinical sign of AChe inhibition,n/a,RfD,1x10-3 mg/kg-day
Aldicarb sulfone,1646-88-4,Oral,Noncancer,Brain ChE inhibition in females,n/a,RfD,1x10-3 mg/kg-day
Aldrin,309-00-2,Oral,Noncancer,Liver toxicity,n/a,RfD,3x10-5 mg/kg-day
Aldrin,309-00-2,Oral,Cancer,Liver carcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,1.7x101 per mg/kg-day
Aldrin,309-00-2,Inhalation,Cancer,Liver carcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,4.9x10-3 per ｵg/m3
Ally,74223-64-6,Oral,Noncancer,Decreased body weight,n/a,RfD,2.5x10-1 mg/kg-day
Allyl alcohol,107-18-6,Oral,Noncancer,Impaired renal function and increased liver and kidney weights,n/a,RfD,5x10-3 mg/kg-day
Allyl chloride,107-05-1,Inhalation,Noncancer,Functional and histological peripheral neurotoxicity,n/a,RfC,1x10-3 mg/m3
Aluminum phosphide,20859-73-8,Oral,Noncancer,Body weight and clinical parameters,n/a,RfD,4x10-4 mg/kg-day
Amdro,67485-29-4,Oral,Noncancer,Increased organ weights,n/a,RfD,3x10-4 mg/kg-day
Ametryn,834-12-8,Oral,Noncancer,Liver toxicity,n/a,RfD,9x10-3 mg/kg-day
Amitraz,33089-61-1,Oral,Noncancer,Increased mean blood sugar concentration; slight hypothermia,n/a,RfD,2.5x10-3 mg/kg-day
Ammonia,7664-41-7,Inhalation,Noncancer,Decreased lung function and respiratory symptoms,n/a,RfC,5x10-1 mg/m3
Ammonium sulfamate,7773-06-0,Oral,Noncancer,Decrease in body weight,n/a,RfD,2x10-1 mg/kg-day
Aniline,62-53-3,Oral,Cancer,"Spleen, combined fibrosarcoma, stromal sarcoma, capsular sarcoma and hemangiosarcoma",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,5.7x10-3 per mg/kg-day
Aniline,62-53-3,Inhalation,Noncancer,"Methemoglobin increase, spleen toxicity",n/a,RfC,1x10-3 mg/m3
Anthracene,120-12-7,Oral,Noncancer,No observed effects,n/a,RfD,3x10-1 mg/kg-day
Antimony,7440-36-0,Oral,Noncancer,"Longevity, blood glucose, and cholesterol",n/a,RfD,4x10-4 mg/kg-day
Antimony trioxide,1309-64-4,Inhalation,Noncancer,"Pulmonary toxicity, chronic interstitial inflammation",n/a,RfC,2x10-4 mg/m3
Apollo,74115-24-5,Oral,Noncancer,Liver effects; organ weight changes,n/a,RfD,1.3x10-2 mg/kg-day
Aramite,140-57-8,Oral,Cancer,Neoplastic liver nodules and carcinomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,2.5x10-2 per mg/kg-day
Aramite,140-57-8,Inhalation,Cancer,Neoplastic liver nodules and carcinomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,7.1x10-6 per ｵg/m3
Aroclor 1016,12674-11-2,Oral,Noncancer,Reduced birth weights,n/a,RfD,7x10-5 mg/kg-day
Aroclor 1254,11097-69-1,Oral,Noncancer,"Ocular exudate, inflamed and prominent Meibomian glands, distorted growth of finger and toe nails; decreased antibody (IgG and IgM) response to sheep erythrocytes",n/a,RfD,2x10-5 mg/kg-day
"Arsenic, Inorganic",7440-38-2,Inhalation,Cancer,Lung cancer,A (Human carcinogen) (1986 guidelines),Inhalation Unit Risk,4.3x10-3 per ｵg/m3
"Arsenic, Inorganic",7440-38-2,Oral,Cancer,Skin cancer,A (Human carcinogen) (1986 guidelines),Oral Slope Factor,1.5 per mg/kg-day
"Arsenic, Inorganic",7440-38-2,Oral,Noncancer,"Hyperpigmentation, keratosis and possible vascular complications",n/a,RfD,3x10-4 mg/kg-day
Arsine,7784-42-1,Inhalation,Noncancer,"Increased hemolysis, abnormal RBC morphology, and increased spleen weight",n/a,RfC,5x10-5 mg/m3
Asbestos,1332-21-4,Inhalation,Cancer,Lung cancer and mesothelioma,A (Human carcinogen) (1986 guidelines),Inhalation Unit Risk,2.3x10-1 per f/mL
Assure,76578-14-8,Oral,Noncancer,Liver cell enlargement,n/a,RfD,9x10-3 mg/kg-day
Asulam,3337-71-1,Oral,Noncancer,"Lower ovarian weight, lower liver/body weight",n/a,RfD,5x10-2 mg/kg-day
Atrazine,1912-24-9,Oral,Noncancer,Decreased body weight gain,n/a,RfD,3.5x10-2 mg/kg-day
Avermectin B1,65195-55-3,Oral,Noncancer,"Increased retinal folds in weanlings, decreased viability and lactation indices, decreased pup body weight, increase of dead pups at birth",n/a,RfD,4x10-4 mg/kg-day
Azobenzene,103-33-3,Inhalation,Cancer,Abdominal cavity sarcomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,3.1x10-5 per ｵg/m3
Azobenzene,103-33-3,Oral,Cancer,Abdominal cavity sarcomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,1.1x10-1 per mg/kg-day
Barium and Compounds,7440-39-3,Oral,Noncancer,Nephropathy,n/a,RfD,2x10-1 mg/kg-day
Baygon,114-26-1,Oral,Noncancer,Mild cholinergic symptoms and RBD ChE inhibition,n/a,RfD,4x10-3 mg/kg-day
Bayleton,43121-43-3,Oral,Noncancer,"Decreased body weight gain, erythrocyte count and hemoglobin level",n/a,RfD,3x10-2 mg/kg-day
Baythroid,68359-37-5,Oral,Noncancer,"Decreased body weights in males, inflammatory foci in kidneys of females",n/a,RfD,2.5x10-2 mg/kg-day
Benefin,1861-40-1,Oral,Noncancer,Depressed erythrocyte counts,n/a,RfD,3x10-1 mg/kg-day
Benomyl,17804-35-2,Oral,Noncancer,Decreased pup weanling weights,n/a,RfD,5x10-2 mg/kg-day
Bentazon (Basagran),25057-89-0,Oral,Noncancer,Blood loss into the gastrointestinal tract; coagulation defect in male and female dogs,n/a,RfD,3.0x10-2 mg/kg-day
Benzaldehyde,100-52-7,Oral,Noncancer,"Forestomach lesions, kidney toxicity",n/a,RfD,1x10-1 mg/kg-day
Benzene,71-43-2,Inhalation,Cancer,Leukemia,A (Human carcinogen) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Inhalation Unit Risk,2.2x10-6 per ｵg/m3
Benzene,71-43-2,Oral,Cancer,Leukemia,A (Human carcinogen) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Oral Slope Factor,5.5x10-2 per mg/kg-day
Benzene,71-43-2,Inhalation,Noncancer,Decreased lymphocyte count,n/a,RfC,3x10-2 mg/m3
Benzene,71-43-2,Oral,Noncancer,Decreased lymphocyte count,n/a,RfD,4.0x10-3 mg/kg-day
Benzene,71-43-2,Oral,Cancer,Leukemia,A (Human carcinogen) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Oral Slope Factor,1.5x10-2 per mg/kg-day
Benzene,71-43-2,Inhalation,Cancer,Leukemia,A (Human carcinogen) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Inhalation Unit Risk,7.8x10-6 per ｵg/m3
Benzidine,92-87-5,Inhalation,Cancer,Bladder tumors,A (Human carcinogen) (1986 guidelines),Inhalation Unit Risk,6.7x10-2 per ｵg/m3
Benzidine,92-87-5,Oral,Noncancer,Brain cell vacuolization; liver cell alterations in females,n/a,RfD,3x10-3 mg/kg-day
Benzidine,92-87-5,Oral,Cancer,Bladder tumors,A (Human carcinogen) (1986 guidelines),Oral Slope Factor,2.3x102 per mg/kg-day
Benzo[a]pyrene (BaP),50-32-8,Oral,Noncancer,Decreased thymus weight and serum IgM,n/a,RfD,2x10-3 mg/kg-day
Benzo[a]pyrene (BaP),50-32-8,Inhalation,Noncancer,Decreased embryo/fetal survival,n/a,RfC,2x10-6 mg/m3
Benzo[a]pyrene (BaP),50-32-8,Oral,Cancer,"forestomach, esophagus, tongue, and larynx tumors",Carcinogenic to humans (2005 guidelines),Oral Slope Factor,1 per mg/kg-day
Benzo[a]pyrene (BaP),50-32-8,Inhalation,Noncancer,Reduced ovulation rate and ovary weight,n/a,RfC,3x10-6 mg/m3
Benzo[a]pyrene (BaP),50-32-8,Oral,Noncancer,Neurobehavioral changes,n/a,RfD,3x10-4 mg/kg-day
Benzo[a]pyrene (BaP),50-32-8,Oral,Noncancer,Decreased ovarian follicles and ovary weight,n/a,RfD,4x10-4 mg/kg-day
Benzo[a]pyrene (BaP),50-32-8,Inhalation,Cancer,"Squamous cell neoplasia in the larynx, pharynx, trachea, nasal cavity, esophagus, and forestomach.",Carcinogenic to humans (2005 guidelines),Inhalation Unit Risk,6x10-4 per ｵg/m3
Benzoic acid,65-85-0,Oral,Noncancer,No adverse effects observed,n/a,RfD,4 mg/kg-day
Benzotrichloride,98-07-7,Oral,Cancer,"Lung, adenocarcinoma",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,1.3x101 per mg/kg-day
Benzyl chloride,100-44-7,Oral,Cancer,"Thyroid, C-cell adenoma/ carcinoma",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,1.7x10-1 per mg/kg-day
Beryllium and compounds,7440-41-7,Oral,Noncancer,Small intestinal lesions,n/a,RfD,2x10-3 mg/kg-day
Beryllium and compounds,7440-41-7,Inhalation,Noncancer,Beryllium sensitization and progression to CBD,n/a,RfC,2x10-5 mg/m3
Beryllium and compounds,7440-41-7,Inhalation,Cancer,Lung cancer,B1 (Probable human carcinogen - based on limited evidence of carcinogenicity in humans) (1986 guidelines) Carcinogenic potential cannot be determined (1996 guidelines) Known/likely human carcinogen (1996 guidelines),Inhalation Unit Risk,2.4x10-3 per ｵg/m3
Bidrin,141-66-2,Oral,Noncancer,Decreased pup survival,n/a,RfD,1x10-4 mg/kg-day
Biphenthrin,82657-04-3,Oral,Noncancer,Tremors,n/a,RfD,1.5x10-2 mg/kg-day
Biphenyl,92-52-4,Oral,Cancer,Liver adenomas or carcinomas,Suggestive evidence of carcinogenic potential (2005 guidelines),Oral Slope Factor,8x10-3 per mg/kg-day
Biphenyl,92-52-4,Oral,Noncancer,Renal papillary mineralization in male F344 rats,n/a,RfD,5x10-1 mg/kg-day
Bis(2-chloro-1-methylethyl) ether,108-60-1,Oral,Noncancer,Decrease in hemoglobin and possible erythrocyte destruction,n/a,RfD,4x10-2 mg/kg-day
Bis(chloroethyl)ether (BCEE),111-44-4,Inhalation,Cancer,Hepatomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,3.3x10-4 per ｵg/m3
Bis(chloroethyl)ether (BCEE),111-44-4,Oral,Cancer,Hepatomas,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,1.1 per mg/kg-day
Bis(chloromethyl)ether (BCME),542-88-1,Oral,Cancer,Respiratory tract tumors,A (Human carcinogen) (1986 guidelines),Oral Slope Factor,2.2x102 per mg/kg-day
Bis(chloromethyl)ether (BCME),542-88-1,Inhalation,Cancer,Respiratory tract tumors,A (Human carcinogen) (1986 guidelines),Inhalation Unit Risk,6.2x10-2 per ｵg/m3
Bisphenol A,80-05-7,Oral,Noncancer,Reduced mean body weight,n/a,RfD,5x10-2 mg/kg-day
Boron and Compounds,7440-42-8,Oral,Noncancer,Decreased fetal weight (developmental),n/a,RfD,2x10-1 mg/kg-day
Bromate,15541-45-4,Oral,Cancer,"Testicular mesothelioma, renal tubular adenoma and carcinoma, and thyroid follicular cell adenoma and carcinoma",B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines) Carcinogenic potential cannot be determined (1996 guidelines) Known/likely human carcinogen (1996 guidelines),Oral Slope Factor,7x10-1 per mg/kg-day
Bromate,15541-45-4,Oral,Noncancer,Renal effects: urothelial hyperplasia,n/a,RfD,4x10-3 mg/kg-day
Bromobenzene,108-86-1,Inhalation,Noncancer,Hepatocellular cytomegaly in female B6C3F1 mice,n/a,RfC,2x10-1 mg/m3 (Subchronic)
Bromobenzene,108-86-1,Oral,Noncancer,Hepatocellular cytomegaly in male B6C3F1 mice,n/a,RfD,8x10-3 mg/kg-day (Chronic)
Bromobenzene,108-86-1,Inhalation,Noncancer,Hepatocellular cytomegaly in female B6C3F1 mice,n/a,RfC,6x10-2 mg/m3 (Chronic)
Bromobenzene,108-86-1,Oral,Noncancer,Hepatocellular cytomegaly in male B6C3F1 mice,n/a,RfD,2x10-2 mg/kg-day (Subchronic)
Bromodichloromethane,75-27-4,Oral,Noncancer,Renal cytomegaly,n/a,RfD,2x10-2 mg/kg-day
Bromodichloromethane,75-27-4,Oral,Cancer,Kidney (tubular cell adenoma and tubular cell adenocarcinoma),B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,6.2x10-2 per mg/kg-day
Bromoform,75-25-2,Oral,Cancer,Neoplastic lesions in the large intestine,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Oral Slope Factor,7.9x10-3 per mg/kg-day
Bromoform,75-25-2,Oral,Noncancer,Hepatic lesions,n/a,RfD,2x10-2 mg/kg-day
Bromoform,75-25-2,Inhalation,Cancer,Neoplastic lesions in the large intestine,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines),Inhalation Unit Risk,1.1x10-6 per ｵg/m3
Bromomethane,74-83-9,Inhalation,Noncancer,Degenerative and proliferative lesions of the olfactory epithelium of the nasal cavity,n/a,RfC,5x10-3 mg/m3
Bromomethane,74-83-9,Oral,Noncancer,Epithelial hyperplasia of the forestomach,n/a,RfD,1.4x10-3 mg/kg-day
Bromoxynil,1689-84-5,Oral,Noncancer,No adverse effects,n/a,RfD,2x10-2 mg/kg-day
Bromoxynil octanoate,1689-99-2,Oral,Noncancer,No effects,n/a,RfD,2x10-2 mg/kg-day
"1,3-Butadiene",106-99-0,Inhalation,Cancer,Leukemia,Carcinogenic to humans (1999 guidelines),Inhalation Unit Risk,3x10-5 per ｵg/m3
"1,3-Butadiene",106-99-0,Inhalation,Noncancer,Ovarian atrophy,n/a,RfC,2x10-3 mg/m3
Butyl benzyl phthalate (BBP),85-68-7,Oral,Noncancer,Significantly increased liver-to-body weight and liver-to-brain weight ratios,n/a,RfD,2x10-1 mg/kg-day
Butylate,2008-41-5,Oral,Noncancer,Increased relative liver weight in male dogs,n/a,RfD,5x10-2 mg/kg-day
Butylphthalyl butylglycolate (BPBG),85-70-1,Oral,Noncancer,No adverse effect,n/a,RfD,1 mg/kg-day
Cadmium,7440-43-9,Oral,Noncancer,Significant proteinuria,n/a,RfD,5x10-4 mg/kg-day (water)
Cadmium,7440-43-9,Oral,Noncancer,Significant proteinuria,n/a,RfD,1x10-3 mg/kg-day (food)
Cadmium,7440-43-9,Inhalation,Cancer,"Lung, trachea, bronchus cancer deaths",B1 (Probable human carcinogen - based on limited evidence of carcinogenicity in humans) (1986 guidelines),Inhalation Unit Risk,1.8x10-3 per ｵg/m3
Calcium cyanide,592-01-8,Oral,Noncancer,"Decreased cauda epididymis weight in male F344/N rats. The RfD for cyanide, free is presented in section I.A.3 of the hydrogen cyanide and cyanide salts IRIS Summary.",n/a,RfD,1x10-3 mg/kg-day
Caprolactam,105-60-2,Oral,Noncancer,Reduced offspring body weight,n/a,RfD,5x10-1 mg/kg-day
Captafol,6/1/2425,Oral,Noncancer,Kidney and bladder toxicity,n/a,RfD,2x10-3 mg/kg-day
Captan,133-06-2,Oral,Noncancer,Decreased mean body weights,n/a,RfD,1.3x10-1 mg/kg-day
Carbaryl,63-25-2,Oral,Noncancer,Kidney and liver toxicity,n/a,RfD,1x10-1 mg/kg-day
Carbofuran,1563-66-2,Oral,Noncancer,"RBC and plasma cholinesterase inhibition, and testicular and uterine effects",n/a,RfD,5x10-3 mg/kg-day
Carbon disulfide,75-15-0,Inhalation,Noncancer,Peripheral nervous system dysfunction,n/a,RfC,7x10-1 mg/m3
Carbon disulfide,75-15-0,Oral,Noncancer,Fetal toxicity/ malformations,n/a,RfD,1x10-1 mg/kg-day
Carbon tetrachloride,56-23-5,Oral,Noncancer,Elevated serum SDH activity,n/a,RfD,4x10-3 mg/kg-day
Carbon tetrachloride,56-23-5,Inhalation,Noncancer,Fatty changes in the liver,n/a,RfC,1x10-1 mg/m3
Carbon tetrachloride,56-23-5,Oral,Cancer,Hepatocellular adenoma or carcinoma,Likely to be carcinogenic to humans (2005 guidelines),Oral Slope Factor,7x10-2 per mg/kg-day
Carbon tetrachloride,56-23-5,Inhalation,Cancer,Pheochromocytoma,Likely to be carcinogenic to humans (2005 guidelines),Inhalation Unit Risk,6x10-6 per ｵg/m3
Carbosulfan,55285-14-8,Oral,Noncancer,Decreased body weight,n/a,RfD,1x10-2 mg/kg-day
Carboxin,5234-68-4,Oral,Noncancer,"Reduced weight gain, organ weight changes, increased mortality",n/a,RfD,1x10-1 mg/kg-day
Cerium Oxide and Cerium Compounds,1306-38-3,Inhalation,Noncancer,Increased incidence of alveolar epithelial hyperplasia in the lungs of male and female rats,n/a,RfC,9x10-4 mg/m3
Chloral hydrate,302-17-0,Oral,Noncancer,CNS depression and GI irritation in humans,n/a,RfD,1x10-1 mg/kg-day
Chloramben,133-90-4,Oral,Noncancer,Hepatocyte degeneration,n/a,RfD,1.5x10-2 mg/kg-day
Chlordane (Technical),12789-03-6,Inhalation,Noncancer,Hepatic effects,n/a,RfC,7x10-4 mg/m3
Chlordane (Technical),12789-03-6,Inhalation,Cancer,Hepatocellular carcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Inhalation Unit Risk,1x10-4 per ｵg/m3
Chlordane (Technical),12789-03-6,Oral,Cancer,Hepatocellular carcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Oral Slope Factor,3.5x10-1 per mg/kg-day
Chlordane (Technical),12789-03-6,Oral,Noncancer,Hepatic necrosis,n/a,RfD,5x10-4 mg/kg-day
Chlordecone (Kepone),143-50-0,Oral,Noncancer,Renal lesions (glomerulosclerosis) in female Wistar rats,n/a,RfD,3x10-4 mg/kg-day
Chlordecone (Kepone),143-50-0,Oral,Cancer,liver hepatocellular carcinoma,Likely to be carcinogenic to humans (2005 guidelines),Oral Slope Factor,1x101 per mg/kg-day
Chlorimuron-ethyl,90982-32-4,Oral,Noncancer,"Increase in WBC, decreased in RBC in females, increase in alkaline phosphatase in males",n/a,RfD,2x10-2 mg/kg-day
Chlorine,7782-50-5,Oral,Noncancer,No observed adverse effects,n/a,RfD,1x10-1 mg/kg-day
Chlorine cyanide,506-77-4,Oral,Noncancer,"Weight loss, thyroid effects, and myelin degeneration",n/a,RfD,5x10-2 mg/kg-day
Chlorine dioxide,10049-04-4,Inhalation,Noncancer,Vascular congestion and peribronchial edema,n/a,RfC,2x10-4 mg/m3
Chlorine dioxide,10049-04-4,Oral,Noncancer,Neurodevelopmental effects,n/a,RfD,3x10-2 mg/kg-day
Chlorite (sodium salt),7758-19-2,Oral,Noncancer,Neurodevelopmental effects,n/a,RfD,3x10-2 mg/kg-day
"1-Chloro-1,1-difluoroethane",75-68-3,Inhalation,Noncancer,No adverse effects,n/a,RfC,5x101 mg/m3
2-Chloroacetophenone,532-27-4,Inhalation,Noncancer,Squamous hyperplasia of the nasal respiratory epithelium,n/a,RfC,3x10-5 mg/m3
p-Chloroaniline,106-47-8,Oral,Noncancer,Nonneoplastic lesions of splenic capsule,n/a,RfD,4x10-3 mg/kg-day
Chlorobenzene,108-90-7,Oral,Noncancer,Histopathologic changes in liver,n/a,RfD,2x10-2 mg/kg-day
Chlorobenzilate,510-15-6,Oral,Noncancer,"Decreased stool quantity, food consumption and body weight gains hyperirritability (maternal effects)",n/a,RfD,2x10-2 mg/kg-day
Chlorodifluoromethane,75-45-6,Inhalation,Noncancer,"Increased kidney, adrenal and pituitary weights",n/a,RfC,5x101 mg/m3
Chloroform,67-66-3,Inhalation,Cancer,Hepatocellular carcinoma,B2 (Probable human carcinogen - based on sufficient evidence of carcinogenicity in animals) (1986 guidelines) Likely to be carcinogenic to humans (1999 guidelines) Not likely to be carcinogenic to humans (1999 guidelines),Inhalation Unit Risk,2.3x10-5 per ｵg/m3
Chloroform,67-66-3,Oral,Noncancer,Moderate/marked fatty cyst formation in the liver and elevated SGPT,n/a,RfD,1x10-2 mg/kg-day
beta-Chloronaphthalene,91-58-7,Oral,Noncancer,"Dyspnea, abnormal appearance, liver enlargement",n/a,RfD,8x10-2 mg/kg-day
2-Chlorophenol,95-57-8,Oral,Noncancer,Reproductive effects,n/a,RfD,5x10-3 mg/kg-day
Chloroprene,126-99-8,Inhalation,Cancer,"alveolar/ bronchiolar adenoma or carcinoma hemangioma/ hemangiosarcoma (all organs) mammary gland adenocarcinoma, carcinoma, or adenoacanthoma forestomach squamous cell papilloma or carcinoma hepatocellular adenoma or carcinoma Harderian gland adenoma or carcinoma skin sarcoma and Zymbal's gland carcinoma",Likely to be carcinogenic to humans (2005 guidelines),Inhalation Unit Risk,3x10-4 per ｵg/m3
Chloroprene,126-99-8,Inhalation,Noncancer,"Increase in incidence of olfactory atrophy, alveolar hyperplasia, and splenic hematopoietic proliferation in male F344/N rats, female F344/N rats, and female B6C3F1 mice, respectively",n/a,RfC,2x10-2 mg/m3
Chlorothalonil,1897-45-6,Oral,Noncancer,Renal tubular epithelial vacuolation,n/a,RfD,1.5x10-2 mg/kg-day
o-Chlorotoluene,95-49-8,Oral,Noncancer,Decrease in body weight gain,n/a,RfD,2x10-2 mg/kg-day
Chlorpropham,101-21-3,Oral,Noncancer,"Kidney, spleen, liver, and bone marrow toxicity",n/a,RfD,2x10-1 mg/kg-day
Chlorsulfuron,64902-72-3,Oral,Noncancer,Decreased body weight,n/a,RfD,5x10-2 mg/kg-day
"Chromium(III), insoluble salts",16065-83-1,Oral,Noncancer,No effects observed,n/a,RfD,1.5 mg/kg-day
Chromium(VI),18540-29-9,Inhalation,Cancer,Lung cancer,A (Human carcinogen) (1986 guidelines) Carcinogenic potential cannot be determined (1996 guidelines) D (Not classifiable as to human carcinogenicity) (1986 guidelines) Known/likely human carcinogen (1996 guidelines),Inhalation Unit Risk,1.2x10-2 per ｵg/m3
Chromium(VI),18540-29-9,Oral,Noncancer,None reported,n/a,RfD,3x10-3 mg/kg-day
Chromium(VI),18540-29-9,Inhalation,Noncancer,Lactate dehydrogenase in bronchioalveolar lavage fluid,n/a,RfC,1x10-4 mg/m3 (Cr(VI) particulates)
Chromium(VI),18540-29-9,Inhalation,Noncancer,Nasal septum atrophy,n/a,RfC,8x10-6 mg/m3 (Chromic acid mists and dissolved Cr(VI) aerosols)
Coke oven emissions,,Inhalation,Cancer,Respiratory cancer,A (Human carcinogen) (1986 guidelines),Inhalation Unit Risk,6.2x10-4 per ｵg/m3
Copper cyanide,544-92-3,Oral,Noncancer,"Decreased body and organ weights, histopathologic alterations in liver and kidney",n/a,RfD,5x10-3 mg/kg-day
Cumene,98-82-8,Oral,Noncancer,Increased average kidney weight in female rats,n/a,RfD,1x10-1 mg/kg-day
Cumene,98-82-8,Inhalation,Noncancer,Increased kidney weights in female rats and adrenal weights in male and female rats,n/a,RfC,4x10-1 mg/m3
"Cyanide, free",57-12-5,Oral,Noncancer,"Decreased cauda epididymis weight in male F344/N rats. The RfD for cyanide, free is presented in section 1.A.3 of the hydrogen cyanide and cyanide salts IRIS Summary.",n/a,RfD,6.3x10-4 mg/kg-day
Cyanogen,460-19-5,Oral,Noncancer,Decreased cauda epididymis weight in male F344/N rats. The RfD for cyanogen is presented in section I.A.3 of the hydrogen cyanide and cyanide salts IRIS Summary.,n/a,RfD,1x10-3 mg/kg-day
Cyanogen bromide,506-68-3,Oral,Noncancer,"Weight loss, thyroid effects and myelin degeneration",n/a,RfD,9x10-2 mg/kg-day
Cyclohexane,110-82-7,Inhalation,Noncancer,Reduced pup weights in the F1 and F2 generations,n/a,RfC,6 mg/m3
